"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
3294 0.0990786994080435 3 7 "GO:0001112;GO:0001120;GO:0001113" "DNA-templated transcription open complex formation" 0.519294956485044
-287 0.812822464713913 6 19 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 0.95354939241454
1970 0.0954731622699038 2 20 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.51411948900246
1676 0.437067513102548 -1 6 "GO:0001207;GO:0051037;GO:0051039" "obsolete regulation of transcription involved in meiotic cell cycle" 0.823437096298843
-3005 0.107727399076586 -1 8 "GO:0001300" "obsolete chronological cell aging" 0.528209604876225
451 0.767475376836806 -1 12 "GO:0001302" "obsolete replicative cell aging" 0.943386077330349
1025 0.437820358778725 -1 16 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 0.823586101639506
1722 0.424811638388003 -1 6 "GO:0001315" "obsolete age-dependent response to reactive oxygen species" 0.816837210884271
971 0.476515214804582 5 15 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.839850615576695
-369 0.0795655366525222 3 653 "GO:0001501" "skeletal system development" 0.48186403023381
-2130 0.0587529923050731 2 22 "GO:0001502" "cartilage condensation" 0.428593378422844
600 0.0225653881094771 2 412 "GO:0001503" "ossification" 0.293421949257069
310 0.728824438143293 2 35 "GO:0001504" "neurotransmitter uptake" 0.935461354159905
398 0.0409714892839627 -1 769 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.37711585394296
1276 0.522881517012435 3 7 "GO:0001507;GO:0006581;GO:0033986;GO:0045212;GO:0071405" "obsolete neurotransmitter receptor biosynthetic process" 0.862703735065543
496 0.210127514895746 3 180 "GO:0001508" "action potential" 0.659411939235904
1092 0.0543557389758702 4 87 "GO:0001510" "RNA methylation" 0.418577340877281
1902 0.280140737598766 8 9 "GO:0001514;GO:0006451" "translational readthrough" 0.720280938950839
1261 0.00914442325285079 2 120 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456" "icosanoid biosynthetic process" 0.199801947184723
2575 0.00871569429712505 6 29 "GO:0001522" "pseudouridine synthesis" 0.196964981116425
-599 0.18943378750144 2 135 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.637411103842867
-717 0.00820479148632589 3 388 "GO:0001525" "angiogenesis" 0.19193171740712
-816 0.0313987963424544 3 196 "GO:0001539;GO:0060285" "cilium or flagellum-dependent cell motility" 0.336872081955005
-405 0.369399630299239 2 138 "GO:0001541" "ovarian follicle development" 0.784109749031043
-5605 0.000131340113427663 2 13 "GO:0001542" "ovulation from ovarian follicle" 0.0171315934561237
41 0.979389146727218 2 11 "GO:0001547" "antral ovarian follicle growth" 0.996363738747953
-537 0.649422968274032 2 20 "GO:0001553" "luteinization" 0.911450177220812
-2243 0.0577373256562864 2 20 "GO:0001554" "luteolysis" 0.427800196114623
700 0.553427818722199 2 20 "GO:0001555" "oocyte growth" 0.875081039224094
453 0.597532086047978 2 38 "GO:0001556" "oocyte maturation" 0.89144577347044
-186 0.309141397215552 2 881 "GO:0001558" "regulation of cell growth" 0.741123010111852
26 0.985077897124899 3 15 "GO:0001561" "fatty acid alpha-oxidation" 0.99723935264496
-5392 0.000408536517049322 4 12 "GO:0001562;GO:0042832" "defense response to protozoan" 0.0365715810298306
-444 0.0270983128635777 2 719 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.318415614634274
-1064 0.187120465139777 2 43 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.636437989744184
36 0.947950404441303 2 91 "GO:0001570" "vasculogenesis" 0.989549671520174
1348 0.30757414333116 5 16 "GO:0001573;GO:0006689;GO:0009313" "oligosaccharide catabolic process" 0.739739946281148
-657 0.0495015324530952 2 253 "GO:0001578" "microtubule bundle formation" 0.404174182534587
3465 0.0296258188494785 4 11 "GO:0001580" "detection of chemical stimulus involved in sensory perception of bitter taste" 0.333224918209621
405 0.408845442583175 4 117 "GO:0001649" "osteoblast differentiation" 0.809202010158135
3 0.984022966336913 3 1565 "GO:0001654" "eye development" 0.99723935264496
-371 0.0580261042490805 3 761 "GO:0001655;GO:0072001" "urogenital system development" 0.427800196114623
-253 0.549951335311817 2 157 "GO:0001656" "metanephros development" 0.874934594719091
167 0.585168670276944 2 305 "GO:0001657;GO:0072164;GO:0072163;GO:0001658;GO:0001823;GO:0060993;GO:0060675;GO:0072171;GO:0072078;GO:0072088;GO:0072028;GO:0072080" "nephron tubule development" 0.886647383177424
1015 0.236528163287678 3 38 "GO:0001659" "temperature homeostasis" 0.684575517621789
2065 0.118040782497917 4 16 "GO:0001661" "conditioned taste aversion" 0.54825601923353
-608 0.00303245921862734 2 690 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.122357322757948
-22 0.917319521980973 3 655 "GO:0001667" "ameboidal-type cell migration" 0.983339706863494
-1138 0.335430812692249 2 20 "GO:0001675" "acrosome assembly" 0.761104460174299
-173 0.693665642575942 2 145 "GO:0001676" "long-chain fatty acid metabolic process" 0.923008930920901
-493 0.700312185381713 2 17 "GO:0001682" "tRNA 5'-leader removal" 0.92606259184105
1200 0.520778974619735 2 8 "GO:0001692;GO:0001694" "histamine metabolic process" 0.861426597210547
702 0.595118887190538 2 16 "GO:0001696" "gastric acid secretion" 0.890744621843865
-771 0.00281462772947336 3 429 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.117618967992235
-119 0.564864553209643 6 680 "GO:0001701" "in utero embryonic development" 0.879823185908508
120 0.760278748206684 4 182 "GO:0001702" "gastrulation with mouth forming second" 0.941014782120985
-862 0.140567422860661 6 82 "GO:0001703;GO:0010004" "gastrulation involving germ band extension" 0.581198387133747
-590 0.0698573085727507 2 267 "GO:0001704" "formation of primary germ layer" 0.454937519364472
-2436 0.0445161534070741 2 19 "GO:0001705;GO:0001712" "ectoderm formation" 0.39122865102146
-874 0.147579357573877 2 77 "GO:0001706;GO:0035987" "endoderm formation" 0.592246998633153
-332 0.37984747585371 4 197 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.789511270335348
-460 0.0741264182196368 3 430 "GO:0001708" "cell fate specification" 0.467694284086517
-132 0.567596867891567 3 542 "GO:0001709" "cell fate determination" 0.880469853786101
-134 0.838047797385749 5 65 "GO:0001710" "mesodermal cell fate commitment" 0.959377513408906
-1777 0.0573011828339842 2 32 "GO:0001711" "endodermal cell fate commitment" 0.426737129191371
-2266 0.0397939698979913 2 23 "GO:0001714" "endodermal cell fate specification" 0.372595085348181
240 0.919239735897521 4 5 "GO:0001715" "ectodermal cell fate specification" 0.983893856278359
-312 0.80245955689812 3 18 "GO:0001731" "formation of translation preinitiation complex" 0.952107815410988
303 0.223216584220663 2 462 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 0.671234097502672
848 0.0620390982423827 3 136 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.436359035960442
-356 0.587237244251538 2 65 "GO:0001742;GO:0007438" "oenocyte differentiation" 0.887691249665935
-105 0.952614896853418 3 9 "GO:0001743;GO:0046619" "lens placode formation" 0.989549671520174
2 0.998462464828614 3 20 "GO:0001744" "insect visual primordium formation" 0.999642215673232
-53 0.765749692401716 2 926 "GO:0001745;GO:0048749" "compound eye development" 0.94282604403951
1252 0.210228332880958 4 28 "GO:0001746;GO:0055034" "Bolwig's organ development" 0.659411939235904
-2677 0.0678222640058954 2 13 "GO:0001748" "insect visual primordium development" 0.451920289794198
64 0.822988806480381 3 352 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.956228565417219
111 0.632811954170775 2 531 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.904898549129257
529 0.446327871031701 5 58 "GO:0001755;GO:0090497" "mesenchymal cell migration" 0.829334744589887
-271 0.499872215568554 2 175 "GO:0001756;GO:0061053" "somite development" 0.847867701543947
-547 0.731349502516656 4 11 "GO:0001757" "somite specification" 0.935603607565671
-2054 0.178241687717009 3 12 "GO:0001759" "organ induction" 0.626103689788075
1386 0.557622241498972 2 5 "GO:0001762" "beta-alanine transport" 0.876002897291377
-174 0.559189890376924 3 319 "GO:0001764" "neuron migration" 0.876002897291377
3033 0.0217118591485773 2 16 "GO:0001765;GO:0044854;GO:0044857" "membrane raft assembly" 0.288944075134516
266 0.879872855990212 4 9 "GO:0001767" "establishment of lymphocyte polarity" 0.969339306610208
77 0.974029193225163 2 5 "GO:0001768" "establishment of T cell polarity" 0.994769871104204
-909 0.453602995522374 4 19 "GO:0001771" "immunological synapse formation" 0.833335688714436
-728 0.527796163133578 4 21 "GO:0001773;GO:0043011;GO:0097028" "myeloid dendritic cell activation" 0.864724830716037
-3651 0.0219444510247488 2 11 "GO:0001774;GO:0002269" "microglial cell activation" 0.28927180362181
-351 0.0276592662049141 2 1173 "GO:0001775;GO:0045321" "cell activation" 0.321538969632126
-1851 0.00214831094580501 2 77 "GO:0001776" "leukocyte homeostasis" 0.102393870454431
-1399 0.35907499113886 6 12 "GO:0001778" "plasma membrane repair" 0.777927807507087
-1351 0.375810197175959 5 12 "GO:0001779" "natural killer cell differentiation" 0.785831797001334
-2534 0.0551108074730168 2 16 "GO:0001780" "neutrophil homeostasis" 0.422097731367486
-1875 0.0386436001036038 2 34 "GO:0001782" "B cell homeostasis" 0.368370117987603
993 0.594894265735035 2 8 "GO:0001783" "B cell apoptotic process" 0.890744621843865
-452 0.296502094490407 2 150 "GO:0001816" "cytokine production" 0.730325865315999
-477 0.0259846287467242 2 629 "GO:0001817" "regulation of cytokine production" 0.312553278899872
-281 0.393222002790122 2 262 "GO:0001818" "negative regulation of cytokine production" 0.798837939024272
-489 0.10300157382259 2 316 "GO:0001819" "positive regulation of cytokine production" 0.525411372555901
-3258 0.167957505483081 2 5 "GO:0001820" "serotonin secretion" 0.615659402217297
2109 0.206960669106235 2 10 "GO:0001821" "histamine secretion" 0.657617526085062
-21 0.929093738234292 2 534 "GO:0001822" "kidney development" 0.98573969843602
-154 0.721998305542542 2 150 "GO:0001824" "blastocyst development" 0.932795261808992
417 0.558659649506677 2 55 "GO:0001825" "blastocyst formation" 0.876002897291377
-530 0.661978890484529 2 19 "GO:0001826" "inner cell mass cell differentiation" 0.914815195384694
329 0.82236704980176 2 13 "GO:0001827;GO:0034972;GO:0060817" "inner cell mass cell fate commitment" 0.956228565417219
728 0.499740530039937 2 24 "GO:0001829" "trophectodermal cell differentiation" 0.847835657860859
472 0.826700008379322 2 6 "GO:0001830;GO:0014883" "trophectodermal cell fate commitment" 0.956471554188875
-234 0.774039068286494 3 42 "GO:0001832;GO:0001833" "blastocyst growth" 0.945327663701139
897 0.352587821135634 2 30 "GO:0001836" "release of cytochrome c from mitochondria" 0.773147088329666
192 0.699537187066396 2 114 "GO:0001837" "epithelial to mesenchymal transition" 0.925515369286665
-196 0.488249599364124 2 356 "GO:0001838;GO:0072175;GO:0035148" "tube formation" 0.840988296614432
1704 0.183797704273259 2 17 "GO:0001839" "neural plate morphogenesis" 0.63365338733629
1094 0.273697853737676 3 28 "GO:0001840" "neural plate development" 0.712688448442863
-282 0.431959062240339 2 219 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 0.820130843328728
-1645 0.445641932164426 2 6 "GO:0001842" "neural fold formation" 0.829334744589887
-38 0.97014701187418 2 27 "GO:0001845" "phagolysosome assembly" 0.99430860481255
999 0.592855573612837 5 8 "GO:0001878" "response to yeast" 0.890075960194454
519 0.703724332721982 2 15 "GO:0001881" "receptor recycling" 0.928171335247025
-785 0.20812992469264 2 72 "GO:0001885" "endothelial cell development" 0.659135716655346
-3225 0.0536253612618009 2 10 "GO:0001886" "endothelial cell morphogenesis" 0.417567953099719
-1321 0.479642039040009 3 8 "GO:0001887" "selenium compound metabolic process" 0.84089307826887
-441 0.109295271584792 3 375 "GO:0001889;GO:0061008" "hepaticobiliary system development" 0.532275135992743
-397 0.281915024489586 2 207 "GO:0001890" "placenta development" 0.72167975050607
90 0.855141341315564 3 116 "GO:0001892" "embryonic placenta development" 0.963922694270883
-679 0.364236500286117 2 50 "GO:0001893" "maternal placenta development" 0.783103341184643
-307 0.262362510065823 2 381 "GO:0001894" "tissue homeostasis" 0.70363922215072
-663 0.147634611120066 2 134 "GO:0001895;GO:0045494" "retina homeostasis" 0.592246998633153
-968 0.187211428611395 2 52 "GO:0001906" "cell killing" 0.636437989744184
-242 0.859252614034362 3 15 "GO:0001907;GO:0044533;GO:0051818;GO:0051883;GO:0052042" "obsolete disruption of cells of other organism involved in symbiotic interaction" 0.964553414070238
-646 0.510691115182648 2 29 "GO:0001909;GO:0002228;GO:0042267" "leukocyte mediated cytotoxicity" 0.854674152886771
-2760 0.000259965232093665 2 49 "GO:0001910" "regulation of leukocyte mediated cytotoxicity" 0.0286401499899592
